id,genres
media-1,Horror|Action|Thriller
media-2,Action|Sci-Fi|Adventure|Thriller
media-3,War|Drama|Comedy|Thriller
media-4,Adventure|Documentary|Horror
media-5,Animation|War|Thriller
media-6,War|Adventure
media-7,Western|Fantasy|Mystery
media-8,Adventure|Crime
media-9,Crime|Thriller
media-10,Western|Fantasy|Action|War
media-11,War|Mystery|Horror|Adventure
media-12,Romance|Sci-Fi|Mystery|Drama
media-13,Mystery
media-14,Adventure|Drama|Animation|Romance
media-15,Drama|Fantasy|Animation|Documentary
media-16,Horror|Drama
media-17,Mystery|Horror
media-18,Horror|Comedy|War
media-19,Crime
media-20,War
media-21,Sci-Fi|Action|Thriller|Drama
media-22,Mystery|Horror|Animation|Drama
media-23,Adventure|Romance|Animation
media-24,Adventure|Mystery|Action|Thriller
media-25,Thriller|Documentary|Animation
media-26,Western
media-27,Documentary|Mystery|Thriller|Adventure
media-28,Western
media-29,Documentary
media-30,Animation|Western|Fantasy|Thriller
media-31,Fantasy|Horror|Mystery
media-32,Fantasy|Thriller|Animation|Mystery
media-33,Thriller|Documentary|War|Adventure
media-34,Crime|Western
media-35,Thriller|Adventure|Fantasy
media-36,Western|Documentary|War|Horror
media-37,Adventure
media-38,Sci-Fi|Comedy|Romance|Thriller
media-39,Horror
media-40,Crime|Fantasy|Animation|Adventure
media-41,Mystery|Animation
media-42,Animation
media-43,Adventure
media-44,Animation|Fantasy|Thriller
media-45,Romance|Crime
media-46,Drama|Horror|War
media-47,Comedy|Action|Animation
media-48,Documentary
media-49,Romance|Fantasy|Western|Documentary
media-50,Animation|Crime|Adventure|Sci-Fi
